=== OVS Snapshot: mid_churn @ 2026-04-19T23:39:01,010275712-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=7980.114s, table=0, n_packets=5841, n_bytes=350460, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=9.780s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.79,nw_dst=10.0.1.77,tp_src=33268,tp_dst=5001 actions=set_field:00:00:00:00:01:4b->eth_dst,output:15
 cookie=0x0, duration=9.717s, table=0, n_packets=2, n_bytes=128, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.43,nw_dst=10.0.1.41,tp_src=58458,tp_dst=5001 actions=set_field:00:00:00:00:01:27->eth_dst,output:14
 cookie=0x0, duration=9.717s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.41,nw_dst=10.0.0.43,tp_src=5001,tp_dst=58458 actions=set_field:00:00:00:00:00:2b->eth_dst,output:3
 cookie=0x0, duration=9.717s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.14,nw_dst=10.0.1.12,tp_src=38232,tp_dst=5001 actions=set_field:00:00:00:00:01:0a->eth_dst,output:13
 cookie=0x0, duration=9.717s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.12,nw_dst=10.0.0.14,tp_src=5001,tp_dst=38232 actions=set_field:00:00:00:00:00:0e->eth_dst,output:2
 cookie=0x0, duration=9.717s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.27,nw_dst=10.0.1.25,tp_src=54564,tp_dst=5001 actions=set_field:00:00:00:00:01:17->eth_dst,output:13
 cookie=0x0, duration=9.717s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.25,nw_dst=10.0.0.27,tp_src=5001,tp_dst=54564 actions=set_field:00:00:00:00:00:1b->eth_dst,output:3
 cookie=0x0, duration=9.717s, table=0, n_packets=13745, n_bytes=644470698, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.13,nw_dst=10.0.1.11,tp_src=38724,tp_dst=5001 actions=set_field:00:00:00:00:01:09->eth_dst,output:13
 cookie=0x0, duration=9.696s, table=0, n_packets=6681, n_bytes=440954, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.11,nw_dst=10.0.0.13,tp_src=5001,tp_dst=38724 actions=set_field:00:00:00:00:00:0d->eth_dst,output:2
 cookie=0x0, duration=9.696s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,tp_src=52008,tp_dst=5001 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=9.696s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,tp_src=5001,tp_dst=52008 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
 cookie=0x0, duration=9.696s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.44,nw_dst=10.0.1.42,tp_src=59940,tp_dst=5001 actions=set_field:00:00:00:00:01:28->eth_dst,output:14
 cookie=0x0, duration=9.696s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.42,nw_dst=10.0.0.44,tp_src=5001,tp_dst=59940 actions=set_field:00:00:00:00:00:2c->eth_dst,output:3
 cookie=0x0, duration=9.696s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.19,nw_dst=10.0.1.17,tp_src=49824,tp_dst=5001 actions=set_field:00:00:00:00:01:0f->eth_dst,output:13
 cookie=0x0, duration=9.696s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.17,nw_dst=10.0.0.19,tp_src=5001,tp_dst=49824 actions=set_field:00:00:00:00:00:13->eth_dst,output:2
 cookie=0x0, duration=9.696s, table=0, n_packets=11570, n_bytes=595577588, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.39,nw_dst=10.0.1.37,tp_src=40778,tp_dst=5001 actions=set_field:00:00:00:00:01:23->eth_dst,output:14
 cookie=0x0, duration=9.672s, table=0, n_packets=4242, n_bytes=280088, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.37,nw_dst=10.0.0.39,tp_src=5001,tp_dst=40778 actions=set_field:00:00:00:00:00:27->eth_dst,output:3
 cookie=0x0, duration=9.672s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.42,nw_dst=10.0.1.40,tp_src=51906,tp_dst=5001 actions=set_field:00:00:00:00:01:26->eth_dst,output:14
 cookie=0x0, duration=9.672s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.40,nw_dst=10.0.0.42,tp_src=5001,tp_dst=51906 actions=set_field:00:00:00:00:00:2a->eth_dst,output:3
 cookie=0x0, duration=9.672s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.32,nw_dst=10.0.1.30,tp_src=44588,tp_dst=5001 actions=set_field:00:00:00:00:01:1c->eth_dst,output:13
 cookie=0x0, duration=9.672s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.30,nw_dst=10.0.0.32,tp_src=5001,tp_dst=44588 actions=set_field:00:00:00:00:00:20->eth_dst,output:3
 cookie=0x0, duration=9.650s, table=0, n_packets=6940, n_bytes=371141928, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,tp_src=52116,tp_dst=5001 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=9.650s, table=0, n_packets=1791, n_bytes=118358, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.2,nw_dst=10.0.0.4,tp_src=5001,tp_dst=52116 actions=set_field:00:00:00:00:00:04->eth_dst,output:2
 cookie=0x0, duration=9.650s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.96,nw_dst=10.0.1.94,tp_src=36244,tp_dst=5001 actions=set_field:00:00:00:00:01:5c->eth_dst,output:16
 cookie=0x0, duration=9.650s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.94,nw_dst=10.0.0.96,tp_src=5001,tp_dst=36244 actions=set_field:00:00:00:00:00:60->eth_dst,output:5
 cookie=0x0, duration=9.650s, table=0, n_packets=5818, n_bytes=318509860, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.26,nw_dst=10.0.1.24,tp_src=53538,tp_dst=5001 actions=set_field:00:00:00:00:01:16->eth_dst,output:13
 cookie=0x0, duration=9.650s, table=0, n_packets=1444, n_bytes=95468, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.24,nw_dst=10.0.0.26,tp_src=5001,tp_dst=53538 actions=set_field:00:00:00:00:00:1a->eth_dst,output:3
 cookie=0x0, duration=9.649s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.24,nw_dst=10.0.1.22,tp_src=36278,tp_dst=5001 actions=set_field:00:00:00:00:01:14->eth_dst,output:13
 cookie=0x0, duration=9.649s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.22,nw_dst=10.0.0.24,tp_src=5001,tp_dst=36278 actions=set_field:00:00:00:00:00:18->eth_dst,output:2
 cookie=0x0, duration=9.649s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.38,nw_dst=10.0.1.36,tp_src=58110,tp_dst=5001 actions=set_field:00:00:00:00:01:22->eth_dst,output:14
 cookie=0x0, duration=9.649s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.36,nw_dst=10.0.0.38,tp_src=5001,tp_dst=58110 actions=set_field:00:00:00:00:00:26->eth_dst,output:3
 cookie=0x0, duration=9.622s, table=0, n_packets=5459, n_bytes=292005774, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.150,nw_dst=10.0.1.148,tp_src=46256,tp_dst=5001 actions=set_field:00:00:00:00:01:92->eth_dst,output:18
 cookie=0x0, duration=9.622s, table=0, n_packets=1187, n_bytes=78482, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.148,nw_dst=10.0.0.150,tp_src=5001,tp_dst=46256 actions=set_field:00:00:00:00:00:96->eth_dst,output:8
 cookie=0x0, duration=9.622s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.48,nw_dst=10.0.1.46,tp_src=45586,tp_dst=5001 actions=set_field:00:00:00:00:01:2c->eth_dst,output:14
 cookie=0x0, duration=9.622s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.46,nw_dst=10.0.0.48,tp_src=5001,tp_dst=45586 actions=set_field:00:00:00:00:00:30->eth_dst,output:3
 cookie=0x0, duration=9.594s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.99,nw_dst=10.0.1.97,tp_src=36880,tp_dst=5001 actions=set_field:00:00:00:00:01:5f->eth_dst,output:16
 cookie=0x0, duration=9.594s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.97,nw_dst=10.0.0.99,tp_src=5001,tp_dst=36880 actions=set_field:00:00:00:00:00:63->eth_dst,output:6
 cookie=0x0, duration=9.594s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.16,nw_dst=10.0.1.14,tp_src=37720,tp_dst=5001 actions=set_field:00:00:00:00:01:0c->eth_dst,output:13
 cookie=0x0, duration=9.594s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.14,nw_dst=10.0.0.16,tp_src=5001,tp_dst=37720 actions=set_field:00:00:00:00:00:10->eth_dst,output:2
 cookie=0x0, duration=9.594s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.57,nw_dst=10.0.1.55,tp_src=60572,tp_dst=5001 actions=set_field:00:00:00:00:01:35->eth_dst,output:14
 cookie=0x0, duration=9.594s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.55,nw_dst=10.0.0.57,tp_src=5001,tp_dst=60572 actions=set_field:00:00:00:00:00:39->eth_dst,output:4
 cookie=0x0, duration=9.594s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.107,nw_dst=10.0.1.105,tp_src=36342,tp_dst=5001 actions=set_field:00:00:00:00:01:67->eth_dst,output:16
 cookie=0x0, duration=9.594s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.105,nw_dst=10.0.0.107,tp_src=5001,tp_dst=36342 actions=set_field:00:00:00:00:00:6b->eth_dst,output:6
 cookie=0x0, duration=9.594s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.9,nw_dst=10.0.1.7,tp_src=42834,tp_dst=5001 actions=set_field:00:00:00:00:01:05->eth_dst,output:12
 cookie=0x0, duration=9.594s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.7,nw_dst=10.0.0.9,tp_src=5001,tp_dst=42834 actions=set_field:00:00:00:00:00:09->eth_dst,output:2
 cookie=0x0, duration=9.594s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.101,nw_dst=10.0.1.99,tp_src=47144,tp_dst=5001 actions=set_field:00:00:00:00:01:61->eth_dst,output:16
 cookie=0x0, duration=9.594s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.99,nw_dst=10.0.0.101,tp_src=5001,tp_dst=47144 actions=set_field:00:00:00:00:00:65->eth_dst,output:6
 cookie=0x0, duration=9.572s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=9,nw_src=10.0.0.173,nw_dst=10.0.1.171,tp_src=39190,tp_dst=5001 actions=set_field:00:00:00:00:01:a9->eth_dst,output:19
 cookie=0x0, duration=9.572s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.171,nw_dst=10.0.0.173,tp_src=5001,tp_dst=39190 actions=set_field:00:00:00:00:00:ad->eth_dst,output:9
 cookie=0x0, duration=9.571s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=9,nw_src=10.0.0.178,nw_dst=10.0.1.176,tp_src=34158,tp_dst=5001 actions=set_field:00:00:00:00:01:ae->eth_dst,output:19
 cookie=0x0, duration=9.571s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.176,nw_dst=10.0.0.178,tp_src=5001,tp_dst=34158 actions=set_field:00:00:00:00:00:b2->eth_dst,output:9
 cookie=0x0, duration=9.553s, table=0, n_packets=6351, n_bytes=333622262, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.241,nw_dst=10.0.1.239,tp_src=49702,tp_dst=5001 actions=set_field:00:00:00:00:01:ed->eth_dst,output:22
 cookie=0x0, duration=9.553s, table=0, n_packets=1850, n_bytes=122300, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.239,nw_dst=10.0.0.241,tp_src=5001,tp_dst=49702 actions=set_field:00:00:00:00:00:f1->eth_dst,output:12
 cookie=0x0, duration=9.553s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.40,nw_dst=10.0.1.38,tp_src=39324,tp_dst=5001 actions=set_field:00:00:00:00:01:24->eth_dst,output:14
 cookie=0x0, duration=9.553s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.38,nw_dst=10.0.0.40,tp_src=5001,tp_dst=39324 actions=set_field:00:00:00:00:00:28->eth_dst,output:3
 cookie=0x0, duration=9.553s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.105,nw_dst=10.0.1.103,tp_src=53238,tp_dst=5001 actions=set_field:00:00:00:00:01:65->eth_dst,output:16
 cookie=0x0, duration=9.553s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.103,nw_dst=10.0.0.105,tp_src=5001,tp_dst=53238 actions=set_field:00:00:00:00:00:69->eth_dst,output:6
 cookie=0x0, duration=9.553s, table=0, n_packets=5, n_bytes=346, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.41,nw_dst=10.0.1.39,tp_src=35244,tp_dst=5001 actions=set_field:00:00:00:00:01:25->eth_dst,output:14
 cookie=0x0, duration=9.537s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.39,nw_dst=10.0.0.41,tp_src=5001,tp_dst=35244 actions=set_field:00:00:00:00:00:29->eth_dst,output:3
 cookie=0x0, duration=9.536s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.108,nw_dst=10.0.1.106,tp_src=49702,tp_dst=5001 actions=set_field:00:00:00:00:01:68->eth_dst,output:16
 cookie=0x0, duration=9.536s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.106,nw_dst=10.0.0.108,tp_src=5001,tp_dst=49702 actions=set_field:00:00:00:00:00:6c->eth_dst,output:6
 cookie=0x0, duration=9.536s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.246,nw_dst=10.0.1.244,tp_src=46318,tp_dst=5001 actions=set_field:00:00:00:00:01:f2->eth_dst,output:22
 cookie=0x0, duration=9.536s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.244,nw_dst=10.0.0.246,tp_src=5001,tp_dst=46318 actions=set_field:00:00:00:00:00:f6->eth_dst,output:12
 cookie=0x0, duration=9.536s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.95,nw_dst=10.0.1.93,tp_src=37888,tp_dst=5001 actions=set_field:00:00:00:00:01:5b->eth_dst,output:16
 cookie=0x0, duration=9.536s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.93,nw_dst=10.0.0.95,tp_src=5001,tp_dst=37888 actions=set_field:00:00:00:00:00:5f->eth_dst,output:5
 cookie=0x0, duration=9.536s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.30,nw_dst=10.0.1.28,tp_src=55212,tp_dst=5001 actions=set_field:00:00:00:00:01:1a->eth_dst,output:13
 cookie=0x0, duration=9.536s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.28,nw_dst=10.0.0.30,tp_src=5001,tp_dst=55212 actions=set_field:00:00:00:00:00:1e->eth_dst,output:3
 cookie=0x0, duration=9.519s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.248,nw_dst=10.0.1.246,tp_src=55048,tp_dst=5001 actions=set_field:00:00:00:00:01:f4->eth_dst,output:22
 cookie=0x0, duration=9.519s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.246,nw_dst=10.0.0.248,tp_src=5001,tp_dst=55048 actions=set_field:00:00:00:00:00:f8->eth_dst,output:12
 cookie=0x0, duration=9.519s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.94,nw_dst=10.0.1.92,tp_src=49136,tp_dst=5001 actions=set_field:00:00:00:00:01:5a->eth_dst,output:16
 cookie=0x0, duration=9.519s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.92,nw_dst=10.0.0.94,tp_src=5001,tp_dst=49136 actions=set_field:00:00:00:00:00:5e->eth_dst,output:5
 cookie=0x0, duration=9.519s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.37,nw_dst=10.0.1.35,tp_src=49718,tp_dst=5001 actions=set_field:00:00:00:00:01:21->eth_dst,output:14
 cookie=0x0, duration=9.519s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.35,nw_dst=10.0.0.37,tp_src=5001,tp_dst=49718 actions=set_field:00:00:00:00:00:25->eth_dst,output:3
 cookie=0x0, duration=9.501s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=7,nw_src=10.0.0.125,nw_dst=10.0.1.123,tp_src=41924,tp_dst=5001 actions=set_field:00:00:00:00:01:79->eth_dst,output:17
 cookie=0x0, duration=9.501s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=17,nw_src=10.0.1.123,nw_dst=10.0.0.125,tp_src=5001,tp_dst=41924 actions=set_field:00:00:00:00:00:7d->eth_dst,output:7
 cookie=0x0, duration=9.501s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.156,nw_dst=10.0.1.154,tp_src=41420,tp_dst=5001 actions=set_field:00:00:00:00:01:98->eth_dst,output:18
 cookie=0x0, duration=9.501s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.154,nw_dst=10.0.0.156,tp_src=5001,tp_dst=41420 actions=set_field:00:00:00:00:00:9c->eth_dst,output:8
 cookie=0x0, duration=9.500s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.36,nw_dst=10.0.1.34,tp_src=54196,tp_dst=5001 actions=set_field:00:00:00:00:01:20->eth_dst,output:13
 cookie=0x0, duration=9.500s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.34,nw_dst=10.0.0.36,tp_src=5001,tp_dst=54196 actions=set_field:00:00:00:00:00:24->eth_dst,output:3
 cookie=0x0, duration=9.476s, table=0, n_packets=6270, n_bytes=325882332, idle_timeout=15, priority=100,tcp,in_port=7,nw_src=10.0.0.127,nw_dst=10.0.1.125,tp_src=44116,tp_dst=5001 actions=set_field:00:00:00:00:01:7b->eth_dst,output:17
 cookie=0x0, duration=9.476s, table=0, n_packets=1666, n_bytes=110120, idle_timeout=15, priority=100,tcp,in_port=17,nw_src=10.0.1.125,nw_dst=10.0.0.127,tp_src=5001,tp_dst=44116 actions=set_field:00:00:00:00:00:7f->eth_dst,output:7
