=== OVS Snapshot: mid_churn @ 2026-04-19T23:19:05,111098632-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=6784.210s, table=0, n_packets=4964, n_bytes=297840, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=9.504s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.99,nw_dst=10.0.1.97,tp_src=46696,tp_dst=5001 actions=set_field:00:00:00:00:01:5f->eth_dst,output:16
 cookie=0x0, duration=9.418s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.14,nw_dst=10.0.0.16,tp_src=5001,tp_dst=55754 actions=set_field:00:00:00:00:00:10->eth_dst,output:2
 cookie=0x0, duration=9.403s, table=0, n_packets=11884, n_bytes=607387080, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.159,nw_dst=10.0.1.157,tp_src=38420,tp_dst=5001 actions=set_field:00:00:00:00:01:9b->eth_dst,output:19
 cookie=0x0, duration=9.403s, table=0, n_packets=3876, n_bytes=255848, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.157,nw_dst=10.0.0.159,tp_src=5001,tp_dst=38420 actions=set_field:00:00:00:00:00:9f->eth_dst,output:8
 cookie=0x0, duration=9.403s, table=0, n_packets=12198, n_bytes=617508940, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.11,nw_dst=10.0.1.9,tp_src=35202,tp_dst=5001 actions=set_field:00:00:00:00:01:07->eth_dst,output:12
 cookie=0x0, duration=9.388s, table=0, n_packets=4556, n_bytes=300812, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.9,nw_dst=10.0.0.11,tp_src=5001,tp_dst=35202 actions=set_field:00:00:00:00:00:0b->eth_dst,output:2
 cookie=0x0, duration=9.387s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.46,nw_dst=10.0.1.44,tp_src=43316,tp_dst=5001 actions=set_field:00:00:00:00:01:2a->eth_dst,output:14
 cookie=0x0, duration=9.387s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.44,nw_dst=10.0.0.46,tp_src=5001,tp_dst=43316 actions=set_field:00:00:00:00:00:2e->eth_dst,output:3
 cookie=0x0, duration=9.387s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=7,nw_src=10.0.0.134,nw_dst=10.0.1.132,tp_src=60046,tp_dst=5001 actions=set_field:00:00:00:00:01:82->eth_dst,output:18
 cookie=0x0, duration=9.387s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.132,nw_dst=10.0.0.134,tp_src=5001,tp_dst=60046 actions=set_field:00:00:00:00:00:86->eth_dst,output:7
 cookie=0x0, duration=9.387s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.19,nw_dst=10.0.1.17,tp_src=59228,tp_dst=5001 actions=set_field:00:00:00:00:01:0f->eth_dst,output:13
 cookie=0x0, duration=9.387s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.17,nw_dst=10.0.0.19,tp_src=5001,tp_dst=59228 actions=set_field:00:00:00:00:00:13->eth_dst,output:2
 cookie=0x0, duration=9.387s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=7,nw_src=10.0.0.133,nw_dst=10.0.1.131,tp_src=34080,tp_dst=5001 actions=set_field:00:00:00:00:01:81->eth_dst,output:18
 cookie=0x0, duration=9.387s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.131,nw_dst=10.0.0.133,tp_src=5001,tp_dst=34080 actions=set_field:00:00:00:00:00:85->eth_dst,output:7
 cookie=0x0, duration=9.387s, table=0, n_packets=10819, n_bytes=586870862, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,tp_src=49152,tp_dst=5001 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=9.351s, table=0, n_packets=2704, n_bytes=178508, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,tp_src=5001,tp_dst=49152 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
 cookie=0x0, duration=9.351s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.58,nw_dst=10.0.1.56,tp_src=58098,tp_dst=5001 actions=set_field:00:00:00:00:01:36->eth_dst,output:14
 cookie=0x0, duration=9.351s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.56,nw_dst=10.0.0.58,tp_src=5001,tp_dst=58098 actions=set_field:00:00:00:00:00:3a->eth_dst,output:4
 cookie=0x0, duration=9.351s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.18,nw_dst=10.0.1.16,tp_src=40502,tp_dst=5001 actions=set_field:00:00:00:00:01:0e->eth_dst,output:13
 cookie=0x0, duration=9.351s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.16,nw_dst=10.0.0.18,tp_src=5001,tp_dst=40502 actions=set_field:00:00:00:00:00:12->eth_dst,output:2
 cookie=0x0, duration=9.351s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.57,nw_dst=10.0.1.55,tp_src=50014,tp_dst=5001 actions=set_field:00:00:00:00:01:35->eth_dst,output:14
 cookie=0x0, duration=9.351s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.55,nw_dst=10.0.0.57,tp_src=5001,tp_dst=50014 actions=set_field:00:00:00:00:00:39->eth_dst,output:4
 cookie=0x0, duration=9.351s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.21,nw_dst=10.0.1.19,tp_src=37150,tp_dst=5001 actions=set_field:00:00:00:00:01:11->eth_dst,output:13
 cookie=0x0, duration=9.351s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.19,nw_dst=10.0.0.21,tp_src=5001,tp_dst=37150 actions=set_field:00:00:00:00:00:15->eth_dst,output:2
 cookie=0x0, duration=9.329s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=9,nw_src=10.0.0.174,nw_dst=10.0.1.172,tp_src=33436,tp_dst=5001 actions=set_field:00:00:00:00:01:aa->eth_dst,output:19
 cookie=0x0, duration=9.329s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.172,nw_dst=10.0.0.174,tp_src=5001,tp_dst=33436 actions=set_field:00:00:00:00:00:ae->eth_dst,output:9
 cookie=0x0, duration=9.329s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.54,nw_dst=10.0.1.52,tp_src=54670,tp_dst=5001 actions=set_field:00:00:00:00:01:32->eth_dst,output:14
 cookie=0x0, duration=9.329s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.52,nw_dst=10.0.0.54,tp_src=5001,tp_dst=54670 actions=set_field:00:00:00:00:00:36->eth_dst,output:4
 cookie=0x0, duration=9.328s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=9,nw_src=10.0.0.181,nw_dst=10.0.1.179,tp_src=52214,tp_dst=5001 actions=set_field:00:00:00:00:01:b1->eth_dst,output:20
 cookie=0x0, duration=9.328s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=20,nw_src=10.0.1.179,nw_dst=10.0.0.181,tp_src=5001,tp_dst=52214 actions=set_field:00:00:00:00:00:b5->eth_dst,output:9
 cookie=0x0, duration=9.328s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.154,nw_dst=10.0.1.152,tp_src=41884,tp_dst=5001 actions=set_field:00:00:00:00:01:96->eth_dst,output:18
 cookie=0x0, duration=9.328s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.152,nw_dst=10.0.0.154,tp_src=5001,tp_dst=41884 actions=set_field:00:00:00:00:00:9a->eth_dst,output:8
 cookie=0x0, duration=9.328s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.50,nw_dst=10.0.1.48,tp_src=36874,tp_dst=5001 actions=set_field:00:00:00:00:01:2e->eth_dst,output:14
 cookie=0x0, duration=9.328s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.48,nw_dst=10.0.0.50,tp_src=5001,tp_dst=36874 actions=set_field:00:00:00:00:00:32->eth_dst,output:4
 cookie=0x0, duration=9.328s, table=0, n_packets=11725, n_bytes=593491170, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.7,nw_dst=10.0.1.5,tp_src=46726,tp_dst=5001 actions=set_field:00:00:00:00:01:03->eth_dst,output:12
 cookie=0x0, duration=9.298s, table=0, n_packets=3710, n_bytes=244988, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.5,nw_dst=10.0.0.7,tp_src=5001,tp_dst=46726 actions=set_field:00:00:00:00:00:07->eth_dst,output:2
 cookie=0x0, duration=9.298s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=9,nw_src=10.0.0.185,nw_dst=10.0.1.183,tp_src=47860,tp_dst=5001 actions=set_field:00:00:00:00:01:b5->eth_dst,output:20
 cookie=0x0, duration=9.298s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=20,nw_src=10.0.1.183,nw_dst=10.0.0.185,tp_src=5001,tp_dst=47860 actions=set_field:00:00:00:00:00:b9->eth_dst,output:9
 cookie=0x0, duration=9.298s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.155,nw_dst=10.0.1.153,tp_src=43758,tp_dst=5001 actions=set_field:00:00:00:00:01:97->eth_dst,output:18
 cookie=0x0, duration=9.298s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.153,nw_dst=10.0.0.155,tp_src=5001,tp_dst=43758 actions=set_field:00:00:00:00:00:9b->eth_dst,output:8
 cookie=0x0, duration=9.297s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.34,nw_dst=10.0.1.32,tp_src=42736,tp_dst=5001 actions=set_field:00:00:00:00:01:1e->eth_dst,output:13
 cookie=0x0, duration=9.297s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.32,nw_dst=10.0.0.34,tp_src=5001,tp_dst=42736 actions=set_field:00:00:00:00:00:22->eth_dst,output:3
 cookie=0x0, duration=9.297s, table=0, n_packets=5, n_bytes=346, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.161,nw_dst=10.0.1.159,tp_src=45882,tp_dst=5001 actions=set_field:00:00:00:00:01:9d->eth_dst,output:19
 cookie=0x0, duration=9.282s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.159,nw_dst=10.0.0.161,tp_src=5001,tp_dst=45882 actions=set_field:00:00:00:00:00:a1->eth_dst,output:8
 cookie=0x0, duration=9.282s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.100,nw_dst=10.0.1.98,tp_src=59364,tp_dst=5001 actions=set_field:00:00:00:00:01:60->eth_dst,output:16
 cookie=0x0, duration=9.282s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.98,nw_dst=10.0.0.100,tp_src=5001,tp_dst=59364 actions=set_field:00:00:00:00:00:64->eth_dst,output:6
 cookie=0x0, duration=9.281s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.37,nw_dst=10.0.1.35,tp_src=47440,tp_dst=5001 actions=set_field:00:00:00:00:01:21->eth_dst,output:14
 cookie=0x0, duration=9.281s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.35,nw_dst=10.0.0.37,tp_src=5001,tp_dst=47440 actions=set_field:00:00:00:00:00:25->eth_dst,output:3
 cookie=0x0, duration=9.281s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.157,nw_dst=10.0.1.155,tp_src=34918,tp_dst=5001 actions=set_field:00:00:00:00:01:99->eth_dst,output:19
 cookie=0x0, duration=9.281s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.155,nw_dst=10.0.0.157,tp_src=5001,tp_dst=34918 actions=set_field:00:00:00:00:00:9d->eth_dst,output:8
 cookie=0x0, duration=9.281s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.112,nw_dst=10.0.1.110,tp_src=44356,tp_dst=5001 actions=set_field:00:00:00:00:01:6c->eth_dst,output:17
 cookie=0x0, duration=9.281s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=17,nw_src=10.0.1.110,nw_dst=10.0.0.112,tp_src=5001,tp_dst=44356 actions=set_field:00:00:00:00:00:70->eth_dst,output:6
 cookie=0x0, duration=9.264s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.41,nw_dst=10.0.1.39,tp_src=43712,tp_dst=5001 actions=set_field:00:00:00:00:01:25->eth_dst,output:14
 cookie=0x0, duration=9.264s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.39,nw_dst=10.0.0.41,tp_src=5001,tp_dst=43712 actions=set_field:00:00:00:00:00:29->eth_dst,output:3
 cookie=0x0, duration=9.264s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.166,nw_dst=10.0.1.164,tp_src=43758,tp_dst=5001 actions=set_field:00:00:00:00:01:a2->eth_dst,output:19
 cookie=0x0, duration=9.264s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.164,nw_dst=10.0.0.166,tp_src=5001,tp_dst=43758 actions=set_field:00:00:00:00:00:a6->eth_dst,output:8
 cookie=0x0, duration=9.264s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=7,nw_src=10.0.0.137,nw_dst=10.0.1.135,tp_src=53024,tp_dst=5001 actions=set_field:00:00:00:00:01:85->eth_dst,output:18
 cookie=0x0, duration=9.264s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.135,nw_dst=10.0.0.137,tp_src=5001,tp_dst=53024 actions=set_field:00:00:00:00:00:89->eth_dst,output:7
 cookie=0x0, duration=9.264s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.92,nw_dst=10.0.1.90,tp_src=52682,tp_dst=5001 actions=set_field:00:00:00:00:01:58->eth_dst,output:16
